config,attack,watermark,conf,bit_acc,bits,pesq
AU_AW_TI,crop_30s,AWARE,,0.75,,
AU_AW_TI,crop_30s,Timbre,,1.0,,
AU_AW_TI,crop_10s,AudioSeal,,1.0,,
AU_AW_TI,crop_10s,AWARE,,0.55,,
AU_AW_TI,crop_10s,Timbre,,1.0,,
AU_AW_TI,crop_5s,AudioSeal,,1.0,,
AU_AW_TI,crop_5s,AWARE,,0.55,,
AU_AW_TI,crop_5s,Timbre,,1.0,,
AU_AW_TI,crop_3s,AudioSeal,,1.0,,
AU_AW_TI,crop_3s,AWARE,,0.55,,
AU_AW_TI,crop_3s,Timbre,,1.0,,
AU_AW_TI,pitch_up,AudioSeal,,0.69,,
AU_AW_TI,pitch_up,AWARE,,0.6,,
AU_AW_TI,pitch_up,Timbre,,0.0,,
AU_TI_AW,baseline,AudioSeal,0.9998571872711182,1.0,0110111111100100,3.137
AU_TI_AW,baseline,Timbre,1.0,1.0,1111001110,3.137
AU_TI_AW,baseline,AWARE,0.9984269648835105,1.0,01101111111001000001,3.137
AU_TI_AW,mp3_128,AudioSeal,0.9998212456703186,1.0,0110111111100100,3.137
AU_TI_AW,mp3_128,Timbre,1.0,1.0,1111001110,3.137
AU_TI_AW,mp3_128,AWARE,0.9984227237235074,1.0,01101111111001000001,3.137
AU_TI_AW,mp3_64,AudioSeal,0.9999951720237732,1.0,0110111111100100,3.121
AU_TI_AW,mp3_64,Timbre,1.0,1.0,1111001110,3.121
AU_TI_AW,mp3_64,AWARE,0.9981163217797375,1.0,01101111111001000001,3.121
AU_TI_AW,aac_128,AudioSeal,0.9998910427093506,1.0,0110111111100100,3.133
AU_TI_AW,aac_128,Timbre,1.0,1.0,1111001110,3.133
AU_TI_AW,aac_128,AWARE,0.9983440686271134,1.0,01101111111001000001,3.133
AU_TI_AW,opus_64,AudioSeal,0.9998668432235718,1.0,0110111111100100,3.12
AU_TI_AW,opus_64,Timbre,1.0,1.0,1111001110,3.12
AU_TI_AW,opus_64,AWARE,0.9978251307071789,1.0,01101111111001000001,3.12
AU_TI_AW,resample_8k,AudioSeal,0.9998185634613037,1.0,0110111111100100,2.889
AU_TI_AW,resample_8k,Timbre,1.0,1.0,1111001110,2.889
AU_TI_AW,resample_8k,AWARE,0.9971736932021404,1.0,01101111111001000001,2.889
AU_TI_AW,lowpass_4k,AudioSeal,0.9964362978935242,0.9375,0110101111100100,3.209
AU_TI_AW,lowpass_4k,Timbre,1.0,1.0,1111001110,3.209
AU_TI_AW,lowpass_4k,AWARE,0.9983360075755958,1.0,01101111111001000001,3.209
