config,attack,watermark,conf,bit_acc,bits,pesq
AW_AU,mp3_128,AWARE,,1.0,,4.021
AW_AU,mp3_128,AudioSeal,,1.0,,4.021
AW_AU,mp3_64,AWARE,,1.0,,4.003
AW_AU,mp3_64,AudioSeal,,1.0,,4.003
AW_AU,aac_128,AWARE,,1.0,,3.992
AW_AU,aac_128,AudioSeal,,1.0,,3.992
AW_AU,opus_64,AWARE,,1.0,,3.992
AW_AU,opus_64,AudioSeal,,1.0,,3.992
AW_AU,resample_8k,AWARE,,1.0,,3.584
AW_AU,resample_8k,AudioSeal,,1.0,,3.584
AW_AU,lowpass_4k,AWARE,,1.0,,4.043
AW_AU,lowpass_4k,AudioSeal,,1.0,,4.043
AW_AU,highpass_500,AWARE,,1.0,,4.001
AW_AU,highpass_500,AudioSeal,,0.94,,4.001
AW_AU,quantize_8bit,AWARE,,1.0,,2.304
AW_AU,quantize_8bit,AudioSeal,,1.0,,2.304
AW_AU,echo,AWARE,,1.0,,2.171
AW_AU,echo,AudioSeal,,1.0,,2.171
AW_AU,sample_suppress,AWARE,,1.0,,3.881
AW_AU,sample_suppress,AudioSeal,,1.0,,3.881
AW_AU,noise_20db,AWARE,,1.0,,1.954
AW_AU,noise_20db,AudioSeal,,1.0,,1.954
AW_AU,noise_10db,AWARE,,1.0,,1.255
AW_AU,noise_10db,AudioSeal,,0.88,,1.255
AW_AU,noise_5db,AWARE,,0.95,,1.131
AW_AU,noise_5db,AudioSeal,,0.75,,1.131
AW_AU,tempo_up_10,AWARE,,1.0,,
AW_AU,tempo_up_10,AudioSeal,,0.88,,
AW_AU,tempo_down_10,AWARE,,1.0,,
AW_AU,tempo_down_10,AudioSeal,,0.75,,
AW_AU,denoise,AWARE,,1.0,,3.876
AW_AU,denoise,AudioSeal,,0.75,,3.876
AW_AU,crop_30s,AWARE,,0.8,,
AW_AU,crop_30s,AudioSeal,,1.0,,
AW_AU,crop_10s,AWARE,,0.6,,
AW_AU,crop_10s,AudioSeal,,1.0,,
AW_AU,crop_5s,AWARE,,0.7,,
AW_AU,crop_5s,AudioSeal,,1.0,,
AW_AU,crop_3s,AWARE,,0.65,,
AW_AU,crop_3s,AudioSeal,,1.0,,
AW_AU,pitch_up,AWARE,,0.55,,
AW_AU,pitch_up,AudioSeal,,0.81,,
AW_TI,baseline,AWARE,,1.0,,3.371
AW_TI,baseline,Timbre,,1.0,,3.371
AW_TI,mp3_128,AWARE,,1.0,,3.367
AW_TI,mp3_128,Timbre,,1.0,,3.367
AW_TI,mp3_64,AWARE,,1.0,,3.35
AW_TI,mp3_64,Timbre,,1.0,,3.35
AW_TI,aac_128,AWARE,,1.0,,3.361
AW_TI,aac_128,Timbre,,1.0,,3.361
AW_TI,opus_64,AWARE,,1.0,,3.349
AW_TI,opus_64,Timbre,,1.0,,3.349
AW_TI,resample_8k,AWARE,,1.0,,3.101
AW_TI,resample_8k,Timbre,,1.0,,3.101
AW_TI,lowpass_4k,AWARE,,1.0,,3.459
AW_TI,lowpass_4k,Timbre,,1.0,,3.459
AW_TI,highpass_500,AWARE,,1.0,,3.417
AW_TI,highpass_500,Timbre,,1.0,,3.417
AW_TI,quantize_8bit,AWARE,,1.0,,2.173
AW_TI,quantize_8bit,Timbre,,1.0,,2.173
AW_TI,echo,AWARE,,1.0,,2.121
AW_TI,echo,Timbre,,1.0,,2.121
AW_TI,sample_suppress,AWARE,,1.0,,3.293
AW_TI,sample_suppress,Timbre,,1.0,,3.293
AW_TI,noise_20db,AWARE,,1.0,,1.884
AW_TI,noise_20db,Timbre,,1.0,,1.884
AW_TI,noise_10db,AWARE,,1.0,,1.245
AW_TI,noise_10db,Timbre,,1.0,,1.245
AW_TI,noise_5db,AWARE,,0.95,,1.128
AW_TI,noise_5db,Timbre,,0.8,,1.128
AW_TI,tempo_up_10,AWARE,,1.0,,
AW_TI,tempo_up_10,Timbre,,1.0,,
AW_TI,tempo_down_10,AWARE,,1.0,,
AW_TI,tempo_down_10,Timbre,,1.0,,
AW_TI,denoise,AWARE,,1.0,,3.65
AW_TI,denoise,Timbre,,1.0,,3.65
AW_TI,crop_30s,AWARE,,0.75,,
AW_TI,crop_30s,Timbre,,1.0,,
AW_TI,crop_10s,AWARE,,0.55,,
AW_TI,crop_10s,Timbre,,1.0,,
